file,video_id,label,seg
./audio_embeddings_multiseg/FAKE__id00018__seg00.npy,id00018,1,0
./audio_embeddings_multiseg/FAKE__id00018__seg01.npy,id00018,1,1
./audio_embeddings_multiseg/FAKE__id00020__seg00.npy,id00020,1,0
./audio_embeddings_multiseg/FAKE__id00020__seg01.npy,id00020,1,1
./audio_embeddings_multiseg/FAKE__id00020__seg02.npy,id00020,1,2
./audio_embeddings_multiseg/FAKE__id00021__seg00.npy,id00021,1,0
./audio_embeddings_multiseg/FAKE__id00021__seg01.npy,id00021,1,1
./audio_embeddings_multiseg/FAKE__id00025__seg00.npy,id00025,1,0
./audio_embeddings_multiseg/FAKE__id00025__seg01.npy,id00025,1,1
./audio_embeddings_multiseg/FAKE__id00025__seg02.npy,id00025,1,2
./audio_embeddings_multiseg/FAKE__id00025__seg03.npy,id00025,1,3
./audio_embeddings_multiseg/FAKE__id00029__seg00.npy,id00029,1,0
./audio_embeddings_multiseg/FAKE__id00029__seg01.npy,id00029,1,1
./audio_embeddings_multiseg/FAKE__id00032__seg00.npy,id00032,1,0
./audio_embeddings_multiseg/FAKE__id00032__seg01.npy,id00032,1,1
./audio_embeddings_multiseg/FAKE__id00033__seg00.npy,id00033,1,0
./audio_embeddings_multiseg/FAKE__id00033__seg01.npy,id00033,1,1
./audio_embeddings_multiseg/FAKE__id00042__seg00.npy,id00042,1,0
./audio_embeddings_multiseg/FAKE__id00043__seg00.npy,id00043,1,0
./audio_embeddings_multiseg/FAKE__id00043__seg01.npy,id00043,1,1
./audio_embeddings_multiseg/FAKE__id00049__seg00.npy,id00049,1,0
./audio_embeddings_multiseg/FAKE__id00052__seg00.npy,id00052,1,0
./audio_embeddings_multiseg/FAKE__id00052__seg01.npy,id00052,1,1
./audio_embeddings_multiseg/FAKE__id00055__seg00.npy,id00055,1,0
./audio_embeddings_multiseg/FAKE__id00055__seg01.npy,id00055,1,1
./audio_embeddings_multiseg/FAKE__id00056__seg00.npy,id00056,1,0
./audio_embeddings_multiseg/FAKE__id00056__seg01.npy,id00056,1,1
./audio_embeddings_multiseg/FAKE__id00060__seg00.npy,id00060,1,0
./audio_embeddings_multiseg/FAKE__id00060__seg01.npy,id00060,1,1
./audio_embeddings_multiseg/FAKE__id00060__seg02.npy,id00060,1,2
./audio_embeddings_multiseg/FAKE__id00062__seg00.npy,id00062,1,0
./audio_embeddings_multiseg/FAKE__id00062__seg01.npy,id00062,1,1
./audio_embeddings_multiseg/FAKE__id00063__seg00.npy,id00063,1,0
./audio_embeddings_multiseg/FAKE__id00063__seg01.npy,id00063,1,1
./audio_embeddings_multiseg/FAKE__id00068__seg00.npy,id00068,1,0
./audio_embeddings_multiseg/FAKE__id00068__seg01.npy,id00068,1,1
./audio_embeddings_multiseg/FAKE__id00071__seg00.npy,id00071,1,0
./audio_embeddings_multiseg/FAKE__id00076__seg00.npy,id00076,1,0
./audio_embeddings_multiseg/FAKE__id00076__seg01.npy,id00076,1,1
./audio_embeddings_multiseg/FAKE__id00078__seg00.npy,id00078,1,0
./audio_embeddings_multiseg/FAKE__id00078__seg01.npy,id00078,1,1
./audio_embeddings_multiseg/FAKE__id00080__seg00.npy,id00080,1,0
./audio_embeddings_multiseg/FAKE__id00082__seg00.npy,id00082,1,0
./audio_embeddings_multiseg/FAKE__id00087__seg00.npy,id00087,1,0
./audio_embeddings_multiseg/FAKE__id00087__seg01.npy,id00087,1,1
./audio_embeddings_multiseg/FAKE__id00088__seg00.npy,id00088,1,0
./audio_embeddings_multiseg/FAKE__id00088__seg01.npy,id00088,1,1
./audio_embeddings_multiseg/FAKE__id00097__seg00.npy,id00097,1,0
./audio_embeddings_multiseg/FAKE__id00097__seg01.npy,id00097,1,1
./audio_embeddings_multiseg/FAKE__id00098__seg00.npy,id00098,1,0
./audio_embeddings_multiseg/FAKE__id00098__seg01.npy,id00098,1,1
./audio_embeddings_multiseg/FAKE__id00100__seg00.npy,id00100,1,0
./audio_embeddings_multiseg/FAKE__id00100__seg01.npy,id00100,1,1
./audio_embeddings_multiseg/FAKE__id00103__seg00.npy,id00103,1,0
./audio_embeddings_multiseg/FAKE__id00103__seg01.npy,id00103,1,1
./audio_embeddings_multiseg/FAKE__id00126__seg00.npy,id00126,1,0
./audio_embeddings_multiseg/FAKE__id00126__seg01.npy,id00126,1,1
./audio_embeddings_multiseg/FAKE__id00137__seg00.npy,id00137,1,0
./audio_embeddings_multiseg/FAKE__id00137__seg01.npy,id00137,1,1
./audio_embeddings_multiseg/FAKE__id00145__seg00.npy,id00145,1,0
./audio_embeddings_multiseg/FAKE__id00145__seg01.npy,id00145,1,1
./audio_embeddings_multiseg/FAKE__id00145__seg02.npy,id00145,1,2
./audio_embeddings_multiseg/FAKE__id00149__seg00.npy,id00149,1,0
./audio_embeddings_multiseg/FAKE__id00166__seg00.npy,id00166,1,0
./audio_embeddings_multiseg/FAKE__id00166__seg01.npy,id00166,1,1
./audio_embeddings_multiseg/FAKE__id00166__seg02.npy,id00166,1,2
./audio_embeddings_multiseg/FAKE__id00169__seg00.npy,id00169,1,0
./audio_embeddings_multiseg/FAKE__id00169__seg01.npy,id00169,1,1
./audio_embeddings_multiseg/FAKE__id00171__seg00.npy,id00171,1,0
./audio_embeddings_multiseg/FAKE__id00173__seg00.npy,id00173,1,0
./audio_embeddings_multiseg/FAKE__id00173__seg01.npy,id00173,1,1
./audio_embeddings_multiseg/FAKE__id00173__seg02.npy,id00173,1,2
./audio_embeddings_multiseg/FAKE__id00179__seg00.npy,id00179,1,0
./audio_embeddings_multiseg/FAKE__id00179__seg01.npy,id00179,1,1
./audio_embeddings_multiseg/FAKE__id00180__seg00.npy,id00180,1,0
./audio_embeddings_multiseg/FAKE__id00183__seg00.npy,id00183,1,0
./audio_embeddings_multiseg/FAKE__id00184__seg00.npy,id00184,1,0
./audio_embeddings_multiseg/FAKE__id00184__seg01.npy,id00184,1,1
./audio_embeddings_multiseg/FAKE__id00185__seg00.npy,id00185,1,0
./audio_embeddings_multiseg/FAKE__id00185__seg01.npy,id00185,1,1
./audio_embeddings_multiseg/FAKE__id00185__seg02.npy,id00185,1,2
./audio_embeddings_multiseg/FAKE__id00186__seg00.npy,id00186,1,0
