video_uid,source,target1,target2,method,category,type,race,gender,clip_name,dataset_dir,raw_video_relpath,raw_video_path,metadata_row_count,is_video_fake,is_audio_fake,true_label,label_name
id00076__00109__c75f80e7e6,id00076,-,-,real,A,RealVideo-RealAudio,African,men,00109.mp4,RealVideo-RealAudio/African/men/id00076,RealVideo-RealAudio/African/men/id00076/00109.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.mp4,1,0,0,0,REAL
id00166__00010__4076c671a8,id00166,-,-,real,A,RealVideo-RealAudio,African,men,00010.mp4,RealVideo-RealAudio/African/men/id00166,RealVideo-RealAudio/African/men/id00166/00010.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00166/00010.mp4,1,0,0,0,REAL
id00173__00118__a53201e605,id00173,-,-,real,A,RealVideo-RealAudio,African,men,00118.mp4,RealVideo-RealAudio/African/men/id00173,RealVideo-RealAudio/African/men/id00173/00118.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118.mp4,1,0,0,0,REAL
id00366__00118__d017b77f60,id00366,-,-,real,A,RealVideo-RealAudio,African,men,00118.mp4,RealVideo-RealAudio/African/men/id00366,RealVideo-RealAudio/African/men/id00366/00118.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118.mp4,1,0,0,0,REAL
id00391__00052__0495b8c0ec,id00391,-,-,real,A,RealVideo-RealAudio,African,men,00052.mp4,RealVideo-RealAudio/African/men/id00391,RealVideo-RealAudio/African/men/id00391/00052.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00391/00052.mp4,1,0,0,0,REAL
id00475__00099__e369fe7dd1,id00475,-,-,real,A,RealVideo-RealAudio,African,men,00099.mp4,RealVideo-RealAudio/African/men/id00475,RealVideo-RealAudio/African/men/id00475/00099.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099.mp4,1,0,0,0,REAL
id00476__00109__702247b9b0,id00476,-,-,real,A,RealVideo-RealAudio,African,men,00109.mp4,RealVideo-RealAudio/African/men/id00476,RealVideo-RealAudio/African/men/id00476/00109.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109.mp4,1,0,0,0,REAL
id00478__00206__5be2da4c08,id00478,-,-,real,A,RealVideo-RealAudio,African,men,00206.mp4,RealVideo-RealAudio/African/men/id00478,RealVideo-RealAudio/African/men/id00478/00206.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206.mp4,1,0,0,0,REAL
id00518__00031__a63f7fba2c,id00518,-,-,real,A,RealVideo-RealAudio,African,men,00031.mp4,RealVideo-RealAudio/African/men/id00518,RealVideo-RealAudio/African/men/id00518/00031.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031.mp4,1,0,0,0,REAL
id00701__00092__cb5dda52b2,id00701,-,-,real,A,RealVideo-RealAudio,African,men,00092.mp4,RealVideo-RealAudio/African/men/id00701,RealVideo-RealAudio/African/men/id00701/00092.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00701/00092.mp4,1,0,0,0,REAL
id00761__00072__b4b3818c55,id00761,-,-,real,A,RealVideo-RealAudio,African,men,00072.mp4,RealVideo-RealAudio/African/men/id00761,RealVideo-RealAudio/African/men/id00761/00072.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00761/00072.mp4,1,0,0,0,REAL
id00781__00092__baeac0ea86,id00781,-,-,real,A,RealVideo-RealAudio,African,men,00092.mp4,RealVideo-RealAudio/African/men/id00781,RealVideo-RealAudio/African/men/id00781/00092.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00781/00092.mp4,1,0,0,0,REAL
id00830__00143__670c90e432,id00830,-,-,real,A,RealVideo-RealAudio,African,men,00143.mp4,RealVideo-RealAudio/African/men/id00830,RealVideo-RealAudio/African/men/id00830/00143.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00830/00143.mp4,1,0,0,0,REAL
id00944__00135__14fb2956c7,id00944,-,-,real,A,RealVideo-RealAudio,African,men,00135.mp4,RealVideo-RealAudio/African/men/id00944,RealVideo-RealAudio/African/men/id00944/00135.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00944/00135.mp4,1,0,0,0,REAL
id00987__00160__c61a7edee4,id00987,-,-,real,A,RealVideo-RealAudio,African,men,00160.mp4,RealVideo-RealAudio/African/men/id00987,RealVideo-RealAudio/African/men/id00987/00160.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00987/00160.mp4,1,0,0,0,REAL
id01036__00010__81674299af,id01036,-,-,real,A,RealVideo-RealAudio,African,men,00010.mp4,RealVideo-RealAudio/African/men/id01036,RealVideo-RealAudio/African/men/id01036/00010.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01036/00010.mp4,1,0,0,0,REAL
id01076__00005__9a1488e190,id01076,-,-,real,A,RealVideo-RealAudio,African,men,00005.mp4,RealVideo-RealAudio/African/men/id01076,RealVideo-RealAudio/African/men/id01076/00005.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01076/00005.mp4,1,0,0,0,REAL
id01170__00021__e1510ae04e,id01170,-,-,real,A,RealVideo-RealAudio,African,men,00021.mp4,RealVideo-RealAudio/African/men/id01170,RealVideo-RealAudio/African/men/id01170/00021.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01170/00021.mp4,1,0,0,0,REAL
id01171__00053__4161d9a9e8,id01171,-,-,real,A,RealVideo-RealAudio,African,men,00053.mp4,RealVideo-RealAudio/African/men/id01171,RealVideo-RealAudio/African/men/id01171/00053.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01171/00053.mp4,1,0,0,0,REAL
id01179__00160__697f65a5b3,id01179,-,-,real,A,RealVideo-RealAudio,African,men,00160.mp4,RealVideo-RealAudio/African/men/id01179,RealVideo-RealAudio/African/men/id01179/00160.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01179/00160.mp4,1,0,0,0,REAL
id01207__00320__255bd04bc6,id01207,-,-,real,A,RealVideo-RealAudio,African,men,00320.mp4,RealVideo-RealAudio/African/men/id01207,RealVideo-RealAudio/African/men/id01207/00320.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01207/00320.mp4,1,0,0,0,REAL
id01236__00005__661511513f,id01236,-,-,real,A,RealVideo-RealAudio,African,men,00005.mp4,RealVideo-RealAudio/African/men/id01236,RealVideo-RealAudio/African/men/id01236/00005.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01236/00005.mp4,1,0,0,0,REAL
id01392__00167__aac1e555ad,id01392,-,-,real,A,RealVideo-RealAudio,African,men,00167.mp4,RealVideo-RealAudio/African/men/id01392,RealVideo-RealAudio/African/men/id01392/00167.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01392/00167.mp4,1,0,0,0,REAL
id01452__00001__f8d2f58f3c,id01452,-,-,real,A,RealVideo-RealAudio,African,men,00001.mp4,RealVideo-RealAudio/African/men/id01452,RealVideo-RealAudio/African/men/id01452/00001.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01452/00001.mp4,1,0,0,0,REAL
id01521__00109__9c0a78f71d,id01521,-,-,real,A,RealVideo-RealAudio,African,men,00109.mp4,RealVideo-RealAudio/African/men/id01521,RealVideo-RealAudio/African/men/id01521/00109.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01521/00109.mp4,1,0,0,0,REAL
id01528__00017__26e70d0cef,id01528,-,-,real,A,RealVideo-RealAudio,African,men,00017.mp4,RealVideo-RealAudio/African/men/id01528,RealVideo-RealAudio/African/men/id01528/00017.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01528/00017.mp4,1,0,0,0,REAL
id01530__00002__f0b9cc7ec4,id01530,-,-,real,A,RealVideo-RealAudio,African,men,00002.mp4,RealVideo-RealAudio/African/men/id01530,RealVideo-RealAudio/African/men/id01530/00002.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01530/00002.mp4,1,0,0,0,REAL
id01544__00044__24f628daa6,id01544,-,-,real,A,RealVideo-RealAudio,African,men,00044.mp4,RealVideo-RealAudio/African/men/id01544,RealVideo-RealAudio/African/men/id01544/00044.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01544/00044.mp4,1,0,0,0,REAL
id01597__00005__d6f454e108,id01597,-,-,real,A,RealVideo-RealAudio,African,men,00005.mp4,RealVideo-RealAudio/African/men/id01597,RealVideo-RealAudio/African/men/id01597/00005.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01597/00005.mp4,1,0,0,0,REAL
id01598__00044__c12721510d,id01598,-,-,real,A,RealVideo-RealAudio,African,men,00044.mp4,RealVideo-RealAudio/African/men/id01598,RealVideo-RealAudio/African/men/id01598/00044.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01598/00044.mp4,1,0,0,0,REAL
id01610__00090__f683538f3c,id01610,-,-,real,A,RealVideo-RealAudio,African,men,00090.mp4,RealVideo-RealAudio/African/men/id01610,RealVideo-RealAudio/African/men/id01610/00090.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01610/00090.mp4,1,0,0,0,REAL
id01637__00002__b2cec62271,id01637,-,-,real,A,RealVideo-RealAudio,African,men,00002.mp4,RealVideo-RealAudio/African/men/id01637,RealVideo-RealAudio/African/men/id01637/00002.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01637/00002.mp4,1,0,0,0,REAL
id01691__00045__48804b7629,id01691,-,-,real,A,RealVideo-RealAudio,African,men,00045.mp4,RealVideo-RealAudio/African/men/id01691,RealVideo-RealAudio/African/men/id01691/00045.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01691/00045.mp4,1,0,0,0,REAL
id01717__00005__9f15d3a4b8,id01717,-,-,real,A,RealVideo-RealAudio,African,men,00005.mp4,RealVideo-RealAudio/African/men/id01717,RealVideo-RealAudio/African/men/id01717/00005.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01717/00005.mp4,1,0,0,0,REAL
