uid,video_id,label_name,true_label,split
REAL__id00018,id00018,REAL,0,train
REAL__id00020,id00020,REAL,0,train
REAL__id00021,id00021,REAL,0,train
REAL__id00025,id00025,REAL,0,train
REAL__id00029,id00029,REAL,0,train
REAL__id00032,id00032,REAL,0,train
REAL__id00033,id00033,REAL,0,train
REAL__id00042,id00042,REAL,0,train
REAL__id00043,id00043,REAL,0,train
REAL__id00049,id00049,REAL,0,train
REAL__id00052,id00052,REAL,0,train
REAL__id00055,id00055,REAL,0,train
REAL__id00056,id00056,REAL,0,train
REAL__id00060,id00060,REAL,0,val
REAL__id00062,id00062,REAL,0,train
REAL__id00063,id00063,REAL,0,train
REAL__id00068,id00068,REAL,0,train
REAL__id00071,id00071,REAL,0,train
REAL__id00076,id00076,REAL,0,train
REAL__id00078,id00078,REAL,0,train
REAL__id00080,id00080,REAL,0,val
REAL__id00082,id00082,REAL,0,val
REAL__id00087,id00087,REAL,0,train
REAL__id00088,id00088,REAL,0,train
REAL__id00097,id00097,REAL,0,train
REAL__id00098,id00098,REAL,0,train
REAL__id00100,id00100,REAL,0,train
REAL__id00103,id00103,REAL,0,train
REAL__id00126,id00126,REAL,0,train
REAL__id00137,id00137,REAL,0,train
REAL__id00145,id00145,REAL,0,train
REAL__id00149,id00149,REAL,0,train
REAL__id00169,id00169,REAL,0,train
REAL__id00171,id00171,REAL,0,val
REAL__id00173,id00173,REAL,0,train
REAL__id00179,id00179,REAL,0,train
REAL__id00180,id00180,REAL,0,train
REAL__id00183,id00183,REAL,0,train
REAL__id00184,id00184,REAL,0,train
REAL__id00185,id00185,REAL,0,train
REAL__id00186,id00186,REAL,0,train
REAL__id00187,id00187,REAL,0,train
REAL__id00188,id00188,REAL,0,train
REAL__id00190,id00190,REAL,0,train
REAL__id00192,id00192,REAL,0,train
REAL__id00220,id00220,REAL,0,train
REAL__id00225,id00225,REAL,0,train
REAL__id00231,id00231,REAL,0,val
REAL__id00232,id00232,REAL,0,train
REAL__id00234,id00234,REAL,0,val
REAL__id00235,id00235,REAL,0,train
REAL__id00241,id00241,REAL,0,val
REAL__id00243,id00243,REAL,0,train
REAL__id00253,id00253,REAL,0,val
REAL__id00261,id00261,REAL,0,train
REAL__id00262,id00262,REAL,0,train
REAL__id00264,id00264,REAL,0,train
REAL__id00265,id00265,REAL,0,val
REAL__id00266,id00266,REAL,0,train
REAL__id00270,id00270,REAL,0,train
REAL__id00271,id00271,REAL,0,train
REAL__id00272,id00272,REAL,0,train
REAL__id00282,id00282,REAL,0,train
REAL__id00287,id00287,REAL,0,train
REAL__id00291,id00291,REAL,0,train
REAL__id00292,id00292,REAL,0,train
REAL__id00305,id00305,REAL,0,train
REAL__id00306,id00306,REAL,0,train
REAL__id00325,id00325,REAL,0,train
REAL__id00328,id00328,REAL,0,train
REAL__id00330,id00330,REAL,0,val
REAL__id00332,id00332,REAL,0,train
REAL__id00345,id00345,REAL,0,train
REAL__id00350,id00350,REAL,0,train
REAL__id00358,id00358,REAL,0,train
REAL__id00359,id00359,REAL,0,train
REAL__id00363,id00363,REAL,0,train
REAL__id00365,id00365,REAL,0,train
REAL__id00366,id00366,REAL,0,train
REAL__id00368,id00368,REAL,0,val
REAL__id00371,id00371,REAL,0,train
REAL__id00373,id00373,REAL,0,train
REAL__id00374,id00374,REAL,0,train
REAL__id00379,id00379,REAL,0,train
REAL__id00381,id00381,REAL,0,train
REAL__id00383,id00383,REAL,0,train
REAL__id00385,id00385,REAL,0,val
REAL__id00391,id00391,REAL,0,val
REAL__id00395,id00395,REAL,0,train
REAL__id00398,id00398,REAL,0,train
REAL__id00403,id00403,REAL,0,val
REAL__id00414,id00414,REAL,0,train
REAL__id00415,id00415,REAL,0,train
REAL__id00417,id00417,REAL,0,train
REAL__id00418,id00418,REAL,0,train
REAL__id00428,id00428,REAL,0,train
REAL__id00430,id00430,REAL,0,train
REAL__id00431,id00431,REAL,0,train
REAL__id00434,id00434,REAL,0,val
REAL__id00458,id00458,REAL,0,train
REAL__id00459,id00459,REAL,0,train
REAL__id00460,id00460,REAL,0,val
REAL__id00461,id00461,REAL,0,train
REAL__id00462,id00462,REAL,0,train
REAL__id00475,id00475,REAL,0,train
REAL__id00476,id00476,REAL,0,val
REAL__id00478,id00478,REAL,0,train
REAL__id00484,id00484,REAL,0,train
REAL__id00488,id00488,REAL,0,train
REAL__id00491,id00491,REAL,0,train
REAL__id00495,id00495,REAL,0,train
REAL__id00496,id00496,REAL,0,train
REAL__id00498,id00498,REAL,0,train
REAL__id00518,id00518,REAL,0,train
REAL__id00519,id00519,REAL,0,train
REAL__id00520,id00520,REAL,0,train
REAL__id00529,id00529,REAL,0,train
REAL__id00535,id00535,REAL,0,train
REAL__id00548,id00548,REAL,0,train
REAL__id00554,id00554,REAL,0,train
REAL__id00555,id00555,REAL,0,val
REAL__id00559,id00559,REAL,0,train
REAL__id00560,id00560,REAL,0,train
REAL__id00566,id00566,REAL,0,train
REAL__id00568,id00568,REAL,0,train
REAL__id00569,id00569,REAL,0,train
REAL__id00575,id00575,REAL,0,train
REAL__id00577,id00577,REAL,0,train
REAL__id00581,id00581,REAL,0,val
REAL__id00582,id00582,REAL,0,train
REAL__id00589,id00589,REAL,0,train
REAL__id00591,id00591,REAL,0,train
REAL__id00592,id00592,REAL,0,val
REAL__id00594,id00594,REAL,0,train
REAL__id00597,id00597,REAL,0,train
REAL__id00616,id00616,REAL,0,train
REAL__id00618,id00618,REAL,0,train
REAL__id00633,id00633,REAL,0,train
REAL__id00634,id00634,REAL,0,train
REAL__id00680,id00680,REAL,0,train
REAL__id00685,id00685,REAL,0,train
REAL__id00694,id00694,REAL,0,train
REAL__id00696,id00696,REAL,0,train
REAL__id00701,id00701,REAL,0,train
REAL__id00707,id00707,REAL,0,train
REAL__id00708,id00708,REAL,0,train
REAL__id00709,id00709,REAL,0,train
REAL__id00732,id00732,REAL,0,val
REAL__id00735,id00735,REAL,0,train
REAL__id00739,id00739,REAL,0,val
REAL__id00740,id00740,REAL,0,train
REAL__id00745,id00745,REAL,0,train
REAL__id00747,id00747,REAL,0,train
REAL__id00752,id00752,REAL,0,train
REAL__id00761,id00761,REAL,0,train
REAL__id00763,id00763,REAL,0,train
REAL__id00769,id00769,REAL,0,train
REAL__id00773,id00773,REAL,0,train
REAL__id00775,id00775,REAL,0,val
REAL__id00777,id00777,REAL,0,train
REAL__id00781,id00781,REAL,0,train
REAL__id00806,id00806,REAL,0,train
REAL__id00813,id00813,REAL,0,train
REAL__id00816,id00816,REAL,0,train
REAL__id00823,id00823,REAL,0,val
REAL__id00826,id00826,REAL,0,train
REAL__id00829,id00829,REAL,0,train
REAL__id00830,id00830,REAL,0,val
REAL__id00832,id00832,REAL,0,train
REAL__id00835,id00835,REAL,0,train
REAL__id00841,id00841,REAL,0,train
REAL__id00848,id00848,REAL,0,val
REAL__id00857,id00857,REAL,0,train
REAL__id00860,id00860,REAL,0,train
REAL__id00863,id00863,REAL,0,train
REAL__id00897,id00897,REAL,0,train
REAL__id00909,id00909,REAL,0,train
REAL__id00919,id00919,REAL,0,train
REAL__id00935,id00935,REAL,0,train
REAL__id00943,id00943,REAL,0,train
REAL__id00944,id00944,REAL,0,train
REAL__id00945,id00945,REAL,0,train
REAL__id00946,id00946,REAL,0,train
REAL__id00963,id00963,REAL,0,train
REAL__id00971,id00971,REAL,0,val
REAL__id00981,id00981,REAL,0,val
REAL__id00987,id00987,REAL,0,val
REAL__id00990,id00990,REAL,0,train
REAL__id00999,id00999,REAL,0,val
REAL__id01001,id01001,REAL,0,train
REAL__id01002,id01002,REAL,0,train
REAL__id01004,id01004,REAL,0,train
REAL__id01005,id01005,REAL,0,train
REAL__id01018,id01018,REAL,0,train
REAL__id01026,id01026,REAL,0,train
REAL__id01035,id01035,REAL,0,train
REAL__id01036,id01036,REAL,0,train
REAL__id01042,id01042,REAL,0,train
REAL__id01044,id01044,REAL,0,train
REAL__id01048,id01048,REAL,0,train
REAL__id01051,id01051,REAL,0,train
REAL__id01052,id01052,REAL,0,train
REAL__id01058,id01058,REAL,0,val
REAL__id01075,id01075,REAL,0,train
REAL__id01076,id01076,REAL,0,train
REAL__id01091,id01091,REAL,0,train
REAL__id01096,id01096,REAL,0,train
REAL__id01098,id01098,REAL,0,train
REAL__id01099,id01099,REAL,0,train
REAL__id01102,id01102,REAL,0,train
REAL__id01105,id01105,REAL,0,train
REAL__id01123,id01123,REAL,0,val
REAL__id01124,id01124,REAL,0,train
REAL__id01126,id01126,REAL,0,train
REAL__id01154,id01154,REAL,0,train
REAL__id01156,id01156,REAL,0,train
REAL__id01157,id01157,REAL,0,train
REAL__id01163,id01163,REAL,0,train
REAL__id01168,id01168,REAL,0,train
REAL__id01170,id01170,REAL,0,train
REAL__id01171,id01171,REAL,0,train
REAL__id01172,id01172,REAL,0,train
REAL__id01175,id01175,REAL,0,train
REAL__id01178,id01178,REAL,0,train
REAL__id01179,id01179,REAL,0,train
REAL__id01182,id01182,REAL,0,train
REAL__id01192,id01192,REAL,0,train
REAL__id01201,id01201,REAL,0,train
REAL__id01204,id01204,REAL,0,train
REAL__id01207,id01207,REAL,0,train
REAL__id01210,id01210,REAL,0,train
REAL__id01211,id01211,REAL,0,train
REAL__id01212,id01212,REAL,0,val
REAL__id01215,id01215,REAL,0,train
REAL__id01216,id01216,REAL,0,train
REAL__id01217,id01217,REAL,0,train
REAL__id01223,id01223,REAL,0,train
REAL__id01225,id01225,REAL,0,train
REAL__id01227,id01227,REAL,0,val
REAL__id01231,id01231,REAL,0,train
REAL__id01238,id01238,REAL,0,train
REAL__id01239,id01239,REAL,0,train
REAL__id01245,id01245,REAL,0,train
REAL__id01248,id01248,REAL,0,train
REAL__id01281,id01281,REAL,0,train
REAL__id01392,id01392,REAL,0,train
REAL__id01451,id01451,REAL,0,train
REAL__id01452,id01452,REAL,0,train
REAL__id01521,id01521,REAL,0,val
REAL__id01528,id01528,REAL,0,train
REAL__id01530,id01530,REAL,0,train
REAL__id01532,id01532,REAL,0,train
REAL__id01544,id01544,REAL,0,train
REAL__id01589,id01589,REAL,0,val
REAL__id01597,id01597,REAL,0,train
REAL__id01598,id01598,REAL,0,train
