video_uid,video_id,true_label,split,sync_score
REAL__id00018,id00018,0,train,0.5010528564453125
REAL__id00020,id00020,0,train,0.5010967254638672
REAL__id00021,id00021,0,train,0.5010355710983276
REAL__id00025,id00025,0,train,0.5010417103767395
REAL__id00029,id00029,0,train,0.5009582042694092
REAL__id00032,id00032,0,train,0.500985324382782
REAL__id00033,id00033,0,train,0.5010318756103516
REAL__id00042,id00042,0,train,0.5010690093040466
REAL__id00043,id00043,0,train,0.5010824799537659
REAL__id00049,id00049,0,train,0.500970721244812
REAL__id00052,id00052,0,train,0.5011194944381714
REAL__id00055,id00055,0,train,0.5010367631912231
REAL__id00056,id00056,0,train,0.5011197924613953
REAL__id00060,id00060,0,val,0.5010718107223511
REAL__id00062,id00062,0,train,0.5010751485824585
REAL__id00063,id00063,0,train,0.5011142492294312
REAL__id00068,id00068,0,train,0.5011117458343506
REAL__id00071,id00071,0,train,0.5010403990745544
REAL__id00076,id00076,0,train,0.5010817646980286
REAL__id00078,id00078,0,train,0.5010916590690613
REAL__id00080,id00080,0,val,0.5011101961135864
REAL__id00082,id00082,0,val,0.501086950302124
REAL__id00087,id00087,0,train,0.5010781288146973
REAL__id00088,id00088,0,train,0.5011116862297058
REAL__id00097,id00097,0,train,0.5011113286018372
REAL__id00098,id00098,0,train,0.5009055733680725
REAL__id00100,id00100,0,train,0.5012883543968201
REAL__id00103,id00103,0,train,0.5010586380958557
REAL__id00126,id00126,0,train,0.5014833807945251
REAL__id00137,id00137,0,train,0.5010742545127869
REAL__id00145,id00145,0,train,0.5010761618614197
REAL__id00149,id00149,0,train,0.5011352300643921
REAL__id00169,id00169,0,train,0.5009427070617676
REAL__id00171,id00171,0,val,0.50103360414505
REAL__id00173,id00173,0,train,0.501024603843689
REAL__id00179,id00179,0,train,0.5010541677474976
REAL__id00180,id00180,0,train,0.5010812282562256
REAL__id00183,id00183,0,train,0.5010027289390564
REAL__id00184,id00184,0,train,0.5010872483253479
REAL__id00185,id00185,0,train,0.5010976791381836
REAL__id00186,id00186,0,train,0.5011613368988037
REAL__id00187,id00187,0,train,0.5010918974876404
REAL__id00188,id00188,0,train,0.5009667277336121
REAL__id00190,id00190,0,train,0.5011981129646301
REAL__id00192,id00192,0,train,0.5009229183197021
REAL__id00220,id00220,0,train,0.5009996294975281
REAL__id00225,id00225,0,train,0.5011011362075806
REAL__id00231,id00231,0,val,0.5010690093040466
REAL__id00232,id00232,0,train,0.5011522769927979
REAL__id00234,id00234,0,val,0.5009666681289673
REAL__id00235,id00235,0,train,0.5011187791824341
REAL__id00241,id00241,0,val,0.5011239647865295
REAL__id00243,id00243,0,train,0.501146674156189
REAL__id00253,id00253,0,val,0.5011604428291321
REAL__id00261,id00261,0,train,0.5011010766029358
REAL__id00262,id00262,0,train,0.5012615919113159
REAL__id00264,id00264,0,train,0.5010855197906494
REAL__id00265,id00265,0,val,0.5010561347007751
REAL__id00266,id00266,0,train,0.5011615753173828
REAL__id00270,id00270,0,train,0.5012426376342773
REAL__id00271,id00271,0,train,0.5011550188064575
REAL__id00272,id00272,0,train,0.501121997833252
REAL__id00282,id00282,0,train,0.5010661482810974
REAL__id00287,id00287,0,train,0.5010367631912231
REAL__id00291,id00291,0,train,0.5012221336364746
REAL__id00292,id00292,0,train,0.5011001825332642
REAL__id00305,id00305,0,train,0.5011016726493835
REAL__id00306,id00306,0,train,0.5011738538742065
REAL__id00325,id00325,0,train,0.5009748339653015
REAL__id00328,id00328,0,train,0.5012251138687134
REAL__id00330,id00330,0,val,0.501160204410553
REAL__id00332,id00332,0,train,0.5011045336723328
REAL__id00345,id00345,0,train,0.5011420845985413
REAL__id00350,id00350,0,train,0.5010651350021362
REAL__id00358,id00358,0,train,0.5010973215103149
REAL__id00359,id00359,0,train,0.501028299331665
REAL__id00363,id00363,0,train,0.5011906623840332
REAL__id00365,id00365,0,train,0.5011382699012756
REAL__id00366,id00366,0,train,0.5011487007141113
REAL__id00368,id00368,0,val,0.5011186599731445
REAL__id00371,id00371,0,train,0.5009807348251343
REAL__id00373,id00373,0,train,0.5012953281402588
REAL__id00374,id00374,0,train,0.5009961128234863
REAL__id00379,id00379,0,train,0.5010337233543396
REAL__id00381,id00381,0,train,0.5011186599731445
REAL__id00383,id00383,0,train,0.5010774731636047
REAL__id00385,id00385,0,val,0.5009970664978027
REAL__id00391,id00391,0,val,0.5010860562324524
REAL__id00395,id00395,0,train,0.5009860992431641
REAL__id00398,id00398,0,train,0.5009949207305908
REAL__id00403,id00403,0,val,0.5009464025497437
REAL__id00414,id00414,0,train,0.5010460615158081
REAL__id00415,id00415,0,train,0.5010011792182922
REAL__id00417,id00417,0,train,0.5010114908218384
