video_uid,source,target1,target2,method,category,type,race,gender,clip_name,dataset_dir,raw_video_relpath,raw_video_path,metadata_row_count,is_video_fake,is_audio_fake,true_label,label_name,split,sync_offset,sync_confidence,sync_min_distance,n_tracks,sync_status,sync_error,crop_path,sync_score
id05268__00010_id06878_wavtolip__54e33bfa34,id05268,id06878,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00010_id06878_wavtolip.mp4,FakeVideo-FakeAudio/Asian (East)/men/id05268,FakeVideo-FakeAudio/Asian (East)/men/id05268/00010_id06878_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Asian (East)/men/id05268/00010_id06878_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,8.841800689697266,6.706066131591797,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id05268__00010_id06878_wavtolip__54e33bfa34/00000.avi,0.6478322235495069
id02005__00052_id01637_5vjcpzm8knm__68b9c81d48,id02005,id01637,-,fsgan,C,FakeVideo-RealAudio,African,men,00052_id01637_5VjcPZm8knM.mp4,FakeVideo-RealAudio/African/men/id02005,FakeVideo-RealAudio/African/men/id02005/00052_id01637_5VjcPZm8knM.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/African/men/id02005/00052_id01637_5VjcPZm8knM.mp4,1,1,0,1,FAKE,train,0.0,6.192104339599609,8.34092903137207,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id02005__00052_id01637_5vjcpzm8knm__68b9c81d48/00000.avi,0.2442755673856965
id07165__00368_id00685_wavtolip__61b64fde4d,id07165,id00685,-,wav2lip,C,FakeVideo-RealAudio,Asian (South),men,00368_id00685_wavtolip.mp4,FakeVideo-RealAudio/Asian (South)/men/id07165,FakeVideo-RealAudio/Asian (South)/men/id07165/00368_id00685_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/men/id07165/00368_id00685_wavtolip.mp4,1,1,0,1,FAKE,train,-2.0,8.810608863830566,6.744325160980225,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id07165__00368_id00685_wavtolip__61b64fde4d/00000.avi,0.6530149448421396
id00616__00305_id02466_wavtolip__1366235169,id00616,id02466,-,wav2lip,D,FakeVideo-FakeAudio,Caucasian (American),women,00305_id02466_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (American)/women/id00616,FakeVideo-FakeAudio/Caucasian (American)/women/id00616/00305_id02466_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (American)/women/id00616/00305_id02466_wavtolip.mp4,1,1,1,1,FAKE,val,-2.0,6.763293266296387,7.966211795806885,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00616__00305_id02466_wavtolip__1366235169/00000.avi,0.48821114435593815
id00769__00015__5829a2ed97,id00769,-,-,real,A,RealVideo-RealAudio,Asian (South),men,00015.mp4,RealVideo-RealAudio/Asian (South)/men/id00769,RealVideo-RealAudio/Asian (South)/men/id00769/00015.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/men/id00769/00015.mp4,1,0,0,0,REAL,train,-2.0,5.660809516906738,8.320202827453613,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00769__00015__5829a2ed97/00000.avi,0.2837275881646678
id04547__00052_id02071_wavtolip__16f14e2974,id04547,id02071,-,wav2lip,C,FakeVideo-RealAudio,African,women,00052_id02071_wavtolip.mp4,FakeVideo-RealAudio/African/women/id04547,FakeVideo-RealAudio/African/women/id04547/00052_id02071_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/African/women/id04547/00052_id02071_wavtolip.mp4,1,1,0,1,FAKE,val,-2.0,7.291019439697266,6.69912052154541,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id04547__00052_id02071_wavtolip__16f14e2974/00000.avi,0.1856257505046968
id09171__00092_id06427_dbbake2ea_o_id06061_wavtolip__e593a449ec,id09171,id06427,id06061,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (East),women,00092_id06427_dBBAKe2EA_o_id06061_wavtolip.mp4,FakeVideo-FakeAudio/Asian (East)/women/id09171,FakeVideo-FakeAudio/Asian (East)/women/id09171/00092_id06427_dBBAKe2EA_o_id06061_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Asian (East)/women/id09171/00092_id06427_dBBAKe2EA_o_id06061_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,6.803827285766602,8.001703262329102,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id09171__00092_id06427_dbbake2ea_o_id06061_wavtolip__e593a449ec/00000.avi,0.5167439022915921
id06428__00043_id06428_wavtolip__7bd9f5ac56,id06428,id06428,-,wav2lip,D,FakeVideo-FakeAudio,Asian (South),women,00043_id06428_wavtolip.mp4,FakeVideo-FakeAudio/Asian (South)/women/id06428,FakeVideo-FakeAudio/Asian (South)/women/id06428/00043_id06428_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Asian (South)/women/id06428/00043_id06428_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,6.7772674560546875,8.49525260925293,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id06428__00043_id06428_wavtolip__7bd9f5ac56/00000.avi,0.7035529603593289
id03844__00028_fake__e550fcc4fb,id03844,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (European),women,00028_fake.mp4,RealVideo-FakeAudio/Caucasian (European)/women/id03844,RealVideo-FakeAudio/Caucasian (European)/women/id03844/00028_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (European)/women/id03844/00028_fake.mp4,1,0,1,1,FAKE,train,-15.0,0.8686752319335938,14.21192455291748,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03844__00028_fake__e550fcc4fb/00000.avi,0.99984506892548
id01192__00217__b9c026c2f6,id01192,-,-,real,A,RealVideo-RealAudio,Caucasian (American),men,00217.mp4,RealVideo-RealAudio/Caucasian (American)/men/id01192,RealVideo-RealAudio/Caucasian (American)/men/id01192/00217.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/men/id01192/00217.mp4,1,0,0,0,REAL,train,-1.0,6.570893287658691,8.625271797180176,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01192__00217__b9c026c2f6/00000.avi,0.5823639693113998
